id,fullname,platform,fb_user_type,id_social,domain,created_date,createdBy
fb_100083226248003,ASUN KIDS,1,255,100083226248003,facebook.com,2025-04-30T10:37:25.156Z,PageWebReplyCommentCrawlingLoader
tt_MS4wLjABAAAA6N17J9tt7NVuw9RDKoWwjEPPZzfmN-261GXJvWLQEarF7kdy-iwtKMjGr1WEkEpD,Cô Út Đanh Đá🤭,9,,MS4wLjABAAAA6N17J9tt7NVuw9RDKoWwjEPPZzfmN-261GXJvWLQEarF7kdy-iwtKMjGr1WEkEpD,tiktok.com,2025-04-29T09:14:42.902Z,
tt_MS4wLjABAAAAc6o_kgs_lugzkZRD2G4wV4UQMFrg-SmFnVH1ahFPEjCHNImU8Ec5RdbsWWbOpvzw,Hệ thống Bệnh viện Mắt Sài Gòn,9,,MS4wLjABAAAAc6o_kgs_lugzkZRD2G4wV4UQMFrg-SmFnVH1ahFPEjCHNImU8Ec5RdbsWWbOpvzw,tiktok.com,2025-04-29T09:14:43.157Z,
fb_100013180633093,Trang Tr Tiên,1,255,100013180633093,facebook.com,2025-05-06T04:22:23.792Z,PageWebReplyCommentCrawlingLoader
fb_100064806603692,Dinh Hội Babymart Thái Bình,1,255,100064806603692,facebook.com,2025-05-06T04:22:22.763Z,PageWebReplyCommentCrawlingLoader
fb_100024540036091,Kha Thai,1,255,100024540036091,facebook.com,2025-05-06T04:22:22.071Z,PageWebCommentCrawlingLoader
fb_100013573809320,Thuy Nhung Huynh Thi,1,255,100013573809320,facebook.com,2025-05-06T04:22:29.289Z,PageWebReplyCommentCrawlingLoader
fb_100005042015909,Linh Pham,1,255,100005042015909,facebook.com,2025-05-01T00:31:44.835Z,PageWebCommentCrawlingLoader
fb_100057460808707,Shop Mẹ Và Bé Đức Cơ,1,255,100057460808707,facebook.com,2025-05-04T00:20:45.669Z,PageWebReplyCommentCrawlingLoader
fb_100004831721987,Thanh Thuy Huynh,1,255,100004831721987,facebook.com,2025-05-02T20:38:50.403Z,PageWebCommentCrawlingLoader
fb_100000291627611,Linh Trịnh,1,255,100000291627611,facebook.com,2025-05-03T07:58:16.528Z,PageWebCommentCrawlingLoader
fb_100086450136215,Nguyễn Thị Thúy Vy,1,255,100086450136215,facebook.com,2025-05-03T00:19:07.383Z,PageWebCommentCrawlingLoader
fb_100043512377811,Lê Tuyền,1,255,100043512377811,facebook.com,2025-05-05T03:17:39.165Z,PageWebReplyCommentCrawlingLoader
fb_100072226572769,Nguyễn GiaBảo,1,255,100072226572769,facebook.com,2025-05-03T00:19:07.383Z,PageWebCommentCrawlingLoader
fb_100063806132304,Nhà Thuốc Lê Thanh,1,255,100063806132304,facebook.com,2025-05-05T17:59:52.505Z,PageWebReplyCommentCrawlingLoader
fb_100064171292210,CuteBaby - Chuyên đồ mẹ và bé,1,255,100064171292210,facebook.com,2025-05-06T04:22:29.355Z,PageWebReplyCommentCrawlingLoader
fb_100007239640311,Ngát Ngất Ngây,1,255,100007239640311,facebook.com,2025-05-01T00:31:44.834Z,PageWebCommentCrawlingLoader
fb_100003940567678,Loan Candy,1,255,100003940567678,facebook.com,2025-05-01T00:31:44.835Z,PageWebCommentCrawlingLoader
fb_100064195114458,Nhà Mẹ Ghin - Đồ Dùng Sơ Sinh và Mẹ Bỉm,1,255,100064195114458,facebook.com,2025-04-30T10:37:31.852Z,PageWebReplyCommentCrawlingLoader
fb_100027672291714,Thuonq ThuKhoi,1,255,100027672291714,facebook.com,2025-05-01T00:31:44.834Z,PageWebCommentCrawlingLoader
fb_100057460808707,Shop Mẹ Và Bé Đức Cơ,1,255,100057460808707,facebook.com,2025-05-04T00:20:46.603Z,PageWebReplyCommentCrawlingLoader
fb_100063706874737,Cửa Hàng VIỆT ĐÀO,1,255,100063706874737,facebook.com,2025-05-01T00:31:44.824Z,PageWebReplyCommentCrawlingLoader
fb_100018606192168,Lê Thị Ngọc,1,255,100018606192168,facebook.com,2025-04-30T10:37:31.625Z,PageWebCommentCrawlingLoader
fb_100024962258446,Hương Ngọc,1,255,100024962258446,facebook.com,2025-05-01T00:31:50.073Z,PageWebCommentCrawlingLoader
tt_MS4wLjABAAAAcGb7fiz9WGH-6AR71xt50InU_yFERchgssRczg2ZpOJIOlA8fsI9MQc55_iwseJK,Hỏi_Trả Lời BV Da liễu_Mắt,9,,MS4wLjABAAAAcGb7fiz9WGH-6AR71xt50InU_yFERchgssRczg2ZpOJIOlA8fsI9MQc55_iwseJK,tiktok.com,2025-04-29T09:14:43.157Z,
fb_100064171292210,CuteBaby - Chuyên đồ mẹ và bé,1,255,100064171292210,facebook.com,2025-05-05T03:17:37.987Z,PageWebReplyCommentCrawlingLoader
fb_100037809248570,Quỷ Quỷ,1,255,100037809248570,facebook.com,2025-05-01T00:31:49.166Z,PageWebCommentCrawlingLoader
fb_100029303580636,Phạm Thanh,1,255,100029303580636,facebook.com,2025-05-01T00:31:44.835Z,PageWebCommentCrawlingLoader
