id,reply_updated_at,last_status,platform,reply_last_date,reply_next_crawl_time,createdBy,post_updated_at,post_last_date,next_crawl_time
tr_1445557301,1747213590,0,10,2024-07-26T05:08:13.000Z,2025-05-15T17:06:30.049Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1451430444,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747213735,2025-05-12T14:40:12.000Z,2025-05-14T13:08:55.127Z
tr_1485856851,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747213271,2025-05-12T09:46:04.000Z,2025-05-14T13:01:11.836Z
tr_1457614633,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747213512,2024-05-14T08:39:46.716Z,2025-05-15T17:05:12.803Z
tr_1326490767,1747213801,0,10,2025-02-11T14:36:42.000Z,2025-05-15T17:10:01.792Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1235890533,,4,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747213887,,
tr_11386879579,1747213673,0,10,2025-02-25T19:37:54.000Z,2025-05-15T03:07:53.643Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_12833936739,1747213225,0,10,2024-11-25T06:08:44.000Z,2025-05-15T17:00:25.010Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1484367257,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747213496,2025-01-17T15:29:43.000Z,2025-05-15T17:04:56.261Z
tr_12156675820,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747213444,2024-05-14T08:39:46.715Z,2025-05-15T17:04:04.033Z
tr_1194756809,1747212963,0,10,2024-06-06T04:53:02.000Z,2025-05-15T16:56:03.086Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_14900052584,1747213771,0,10,2025-05-10T11:50:53.000Z,2025-05-14T13:09:31.327Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1130796386,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747212879,2025-05-12T14:04:25.000Z,2025-05-14T12:54:39.847Z
tr_12376469567,1747212974,0,10,2024-05-14T08:39:33.837Z,2025-05-15T16:56:14.986Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1511774591,1747214210,0,10,2024-05-14T08:39:36.345Z,2025-05-15T17:16:50.450Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1243090818,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747213222,2024-05-14T08:39:45.412Z,2025-05-15T17:00:22.314Z
tr_11228031149,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747213779,2025-01-16T14:20:03.000Z,2025-05-15T17:09:39.071Z
tr_1321534912,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747213261,2025-04-14T03:04:12.000Z,2025-05-14T21:01:01.405Z
tr_1338172992,1747213242,0,10,2024-05-14T08:39:35.052Z,2025-05-15T17:00:42.183Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1241485112,1747213238,0,10,2025-05-01T23:21:52.000Z,2025-05-14T13:00:38.595Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1275681223,1747213007,0,10,2024-05-14T08:39:33.837Z,2025-05-15T16:56:47.109Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1299692909,1747213899,0,10,2025-05-14T06:11:17.000Z,2025-05-14T13:11:39.858Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1486358204,1747214191,0,10,2024-05-14T08:39:36.345Z,2025-05-15T17:16:31.654Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1234338395,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747213661,2025-05-04T07:19:01.000Z,2025-05-14T13:07:41.900Z
tr_13126949340,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747213301,2024-12-15T13:19:00.000Z,2025-05-15T17:01:41.324Z
tr_1334719702,1747213763,0,10,2025-03-19T01:27:20.000Z,2025-05-14T21:09:23.333Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1280551329,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747213675,2025-05-03T15:45:25.000Z,2025-05-14T13:07:55.868Z
tr_11295264437,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747213722,2024-05-14T08:39:46.717Z,2025-05-15T17:08:42.429Z
tr_1454782893,1747213515,0,10,2024-11-07T05:50:13.000Z,2025-05-15T17:05:15.320Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_12845169176,1747213646,0,10,2025-05-12T04:59:56.000Z,2025-05-14T13:07:26.272Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1503951929,1747214175,0,10,2025-03-02T21:33:03.000Z,2025-05-15T03:16:15.700Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1489014398,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747214259,2025-04-30T09:42:51.000Z,2025-05-14T13:17:39.845Z
tr_11419588878,1747213866,0,10,2024-05-14T08:39:36.343Z,2025-05-15T17:11:06.052Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1458346126,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747213652,2025-05-05T22:28:09.000Z,2025-05-14T13:07:32.819Z
tr_1488253307,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747212602,2025-02-13T09:35:57.000Z,2025-05-15T02:50:02.885Z
tr_1247247083,1747214116,0,10,2025-05-06T13:02:27.000Z,2025-05-14T13:15:16.007Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1465301023,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747212728,2025-05-04T03:45:58.000Z,2025-05-14T12:52:08.994Z
tr_1253709633,1747212785,0,10,2025-02-20T04:34:48.000Z,2025-05-15T02:53:05.248Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1457517347,1747214262,0,10,2024-05-14T08:39:36.345Z,2025-05-15T17:17:42.714Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1447944105,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747212745,2024-05-14T08:39:45.411Z,2025-05-15T16:52:25.666Z
tr_1244775247,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747213135,2025-05-10T04:54:29.000Z,2025-05-14T12:58:55.350Z
tr_12276672047,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747213237,2024-09-17T09:44:06.000Z,2025-05-15T17:00:37.894Z
tr_1139067329,1747213232,0,10,2024-10-02T02:03:25.000Z,2025-05-15T17:00:32.229Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1183243716,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747213170,2025-03-26T12:04:18.000Z,2025-05-14T20:59:30.784Z
tr_12254022232,1747212788,0,10,2024-11-03T18:39:46.000Z,2025-05-15T16:53:08.880Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1504716977,1747212715,0,10,2024-05-14T08:39:33.835Z,2025-05-15T16:51:55.922Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_11666407211,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747213096,2025-04-20T20:48:16.000Z,2025-05-14T12:58:16.191Z
tr_1250001324,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747213480,2025-05-13T14:57:39.000Z,2025-05-14T13:04:40.562Z
tr_1511981931,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747213396,2025-05-14T09:02:20.000Z,2025-05-14T13:03:16.830Z
tr_12664728070,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747213624,2024-12-20T21:51:26.000Z,2025-05-15T17:07:04.413Z
tr_1486327618,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747213792,2025-01-02T05:28:27.000Z,2025-05-15T17:09:52.531Z
tr_11231434301,1747212828,0,10,2024-05-14T08:39:33.836Z,2025-05-15T16:53:48.467Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1151159037,1747213587,0,10,2024-09-29T12:09:15.000Z,2025-05-15T17:06:27.122Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_11902518540,,4,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747213249,,
tr_15035402745,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747213440,2024-05-14T08:39:46.715Z,2025-05-15T17:04:00.272Z
tr_11565800198,1747213256,0,10,2025-01-28T17:44:39.000Z,2025-05-15T17:00:56.786Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_13085377628,1747213175,0,10,2025-05-13T19:07:33.000Z,2025-05-14T12:59:35.450Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_12616218286,1747213555,0,10,2025-05-09T17:50:02.000Z,2025-05-14T13:05:55.915Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1317010409,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747213139,2024-05-14T08:39:45.412Z,2025-05-15T16:58:59.002Z
tr_1450007712,1747213566,0,10,2025-04-30T13:42:13.000Z,2025-05-14T13:06:06.940Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1348805584,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747213749,2024-12-14T15:42:54.000Z,2025-05-15T17:09:09.068Z
tr_13243948626,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747213364,2025-05-05T12:21:46.000Z,2025-05-14T13:02:44.959Z
tr_1509795870,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747213432,2025-01-07T13:22:51.000Z,2025-05-15T17:03:52.266Z
tr_12738484752,1747213072,0,10,2025-05-09T15:39:19.000Z,2025-05-14T12:57:52.378Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_11372718818,1747213545,0,10,2024-11-30T02:26:28.000Z,2025-05-15T17:05:45.149Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1191109180,1747213442,0,10,2025-05-08T13:42:47.000Z,2025-05-14T13:04:02.159Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1257221450,1747213097,0,10,2024-05-14T08:39:33.838Z,2025-05-15T16:58:17.178Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_14963227,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747213296,2025-04-03T14:07:56.000Z,2025-05-14T21:01:36.430Z
tr_11193116681,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747213070,2025-03-13T14:08:36.000Z,2025-05-15T02:57:50.083Z
tr_145383114,1747213317,0,10,2025-05-12T23:36:14.000Z,2025-05-14T13:01:57.783Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_12574332,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747213392,2025-05-14T05:06:39.000Z,2025-05-14T13:03:12.738Z
tr_1291717548,1747214093,0,10,2025-04-07T13:43:41.000Z,2025-05-14T21:14:53.079Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_12975741905,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747213892,2024-05-14T08:39:46.717Z,2025-05-15T17:11:32.692Z
tr_12330660792,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747213102,2024-08-22T13:35:57.000Z,2025-05-15T16:58:22.746Z
tr_13247147588,1747212791,0,10,2025-03-20T04:39:07.000Z,2025-05-14T20:53:11.123Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1460968178,1747212779,0,10,2025-02-26T16:59:52.000Z,2025-05-15T02:52:59.146Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_11608721363,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747213388,2024-11-08T10:14:12.000Z,2025-05-15T17:03:08.059Z
tr_1461917135,1747213993,0,10,2024-12-26T09:53:26.000Z,2025-05-15T17:13:13.273Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1451248497,1747213067,0,10,2024-05-14T08:39:33.838Z,2025-05-15T16:57:47.551Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_12035165750,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747213449,2025-03-05T18:30:15.000Z,2025-05-15T03:04:09.540Z
