id,mapping_id,fullname,platform,link,id_social,created_date,domain,createdBy
tr_73997838468,tr_73997838468,tin.tran55,10,threads.net/@tin.tran55,73997838468,2025-07-28T18:39:31.686Z,threads.net,ThreadsPostCommentCrawlingLoader
tr_75669687268,tr_75669687268,ghawn.hwn,10,threads.net/@ghawn.hwn,75669687268,2025-07-28T18:39:31.686Z,threads.net,ThreadsPostCommentCrawlingLoader
tr_75082738209,tr_75082738209,bunn_huongg,10,threads.net/@bunn_huongg,75082738209,2025-07-28T18:39:31.686Z,threads.net,ThreadsPostCommentCrawlingLoader
tr_68054690404,tr_68054690404,meo_htp_1411,10,threads.net/@meo_htp_1411,68054690404,2025-07-28T18:39:31.686Z,threads.net,ThreadsPostCommentCrawlingLoader
tr_65118592399,tr_65118592399,vedhamukhi852g7,10,threads.net/@vedhamukhi852g7,65118592399,2025-07-28T18:39:32.078Z,threads.net,ThreadsRepostNoCookieCrawlingLoader
tr_66380751137,tr_66380751137,93fcc,10,threads.net/@93fcc,66380751137,2025-07-28T18:39:32.078Z,threads.net,ThreadsRepostNoCookieCrawlingLoader
tr_63605104626,tr_63605104626,jessi_e1a,10,threads.net/@jessi_e1a,63605104626,2025-07-28T18:39:32.078Z,threads.net,ThreadsRepostNoCookieCrawlingLoader
tr_63296264933,tr_63296264933,annaa98_98,10,threads.net/@annaa98_98,63296264933,2025-07-28T18:39:32.565Z,threads.net,ThreadsReplyPostCrawlingLoader
tr_63296264933,tr_63296264933,annaa98_98,10,threads.net/@annaa98_98,63296264933,2025-07-28T18:39:32.485Z,threads.net,ThreadsReplyPostCrawlingLoader
tr_70251166907,tr_70251166907,_ngnminhhieu2002_,10,threads.net/@_ngnminhhieu2002_,70251166907,2025-07-28T18:39:32.485Z,threads.net,ThreadsReplyPostCrawlingLoader
tr_70170604928,tr_70170604928,myhanh7113,10,threads.net/@myhanh7113,70170604928,2025-07-28T18:39:32.485Z,threads.net,ThreadsReplyPostCrawlingLoader
tr_70251166907,tr_70251166907,_ngnminhhieu2002_,10,threads.net/@_ngnminhhieu2002_,70251166907,2025-07-28T18:39:32.565Z,threads.net,ThreadsReplyPostCrawlingLoader
tr_70199964135,tr_70199964135,rachellaureng,10,threads.net/@rachellaureng,70199964135,2025-07-28T18:39:32.716Z,threads.net,ThreadsReplyPostCrawlingLoader
tr_75082338733,tr_75082338733,eyesea444,10,threads.net/@eyesea444,75082338733,2025-07-28T18:39:32.716Z,threads.net,ThreadsReplyPostCrawlingLoader
tr_71704497305,tr_71704497305,kjcmag,10,threads.net/@kjcmag,71704497305,2025-07-28T18:39:32.842Z,threads.net,ThreadsReplyPostCrawlingLoader
tr_65546631712,tr_65546631712,ejohnh1,10,threads.net/@ejohnh1,65546631712,2025-07-28T18:39:32.842Z,threads.net,ThreadsReplyPostCrawlingLoader
tr_70251166907,tr_70251166907,_ngnminhhieu2002_,10,threads.net/@_ngnminhhieu2002_,70251166907,2025-07-28T18:39:32.922Z,threads.net,ThreadsReplyPostCrawlingLoader
tr_63296264933,tr_63296264933,annaa98_98,10,threads.net/@annaa98_98,63296264933,2025-07-28T18:39:33.653Z,threads.net,ThreadsReplyPostCrawlingLoader
tr_70251166907,tr_70251166907,_ngnminhhieu2002_,10,threads.net/@_ngnminhhieu2002_,70251166907,2025-07-28T18:39:33.653Z,threads.net,ThreadsReplyPostCrawlingLoader
tr_65112209588,tr_65112209588,minbetiiii,10,threads.net/@minbetiiii,65112209588,2025-07-28T18:39:34.375Z,threads.net,ThreadsSourceReplyNoCookieCrawlingLoader
tr_70599382589,tr_70599382589,ke.obongiu,10,threads.net/@ke.obongiu,70599382589,2025-07-28T18:39:34.973Z,threads.net,ThreadsReplyPostCrawlingLoader
tr_67761217636,tr_67761217636,mbbiii_,10,threads.net/@mbbiii_,67761217636,2025-07-28T18:39:35.362Z,threads.net,ThreadsSourceReplyNoCookieCrawlingLoader
tr_69688002434,tr_69688002434,iunamiuoi,10,threads.net/@iunamiuoi,69688002434,2025-07-28T18:39:47.445Z,threads.net,ThreadsSourceReplyNoCookieCrawlingLoader
tr_70488674347,tr_70488674347,_chocopiekewt_,10,threads.net/@_chocopiekewt_,70488674347,2025-07-28T18:40:07.206Z,threads.net,ThreadsSourceReplyNoCookieCrawlingLoader
tr_73787367803,tr_73787367803,minhminh060601,10,threads.net/@minhminh060601,73787367803,2025-07-28T18:40:08.975Z,threads.net,ThreadsSourceReplyNoCookieCrawlingLoader
tr_63535085607,tr_63535085607,ngoannhatxom_,10,threads.net/@ngoannhatxom_,63535085607,2025-07-28T18:40:08.975Z,threads.net,ThreadsSourceReplyNoCookieCrawlingLoader
tr_65841454770,tr_65841454770,laalaa.345,10,threads.net/@laalaa.345,65841454770,2025-07-28T18:40:08.975Z,threads.net,ThreadsSourceReplyNoCookieCrawlingLoader
tr_63041078213,tr_63041078213,_18_2_2002_,10,threads.net/@_18_2_2002_,63041078213,2025-07-28T18:40:08.975Z,threads.net,ThreadsSourceReplyNoCookieCrawlingLoader
tr_63045046302,tr_63045046302,hnao.mik,10,threads.net/@hnao.mik,63045046302,2025-07-28T18:40:08.975Z,threads.net,ThreadsSourceReplyNoCookieCrawlingLoader
tr_71209182546,tr_71209182546,phuong_anh.21,10,threads.net/@phuong_anh.21,71209182546,2025-07-28T18:40:08.975Z,threads.net,ThreadsSourceReplyNoCookieCrawlingLoader
tr_63510880531,tr_63510880531,auis_bi,10,threads.net/@auis_bi,63510880531,2025-07-28T18:40:09.394Z,threads.net,ThreadsReplyPostCrawlingLoader
tr_69969664549,tr_69969664549,pluviophile.mystory,10,threads.net/@pluviophile.mystory,69969664549,2025-07-28T18:40:09.689Z,threads.net,ThreadsReplyPostCrawlingLoader
tr_68178544390,tr_68178544390,mit.yeeu,10,threads.net/@mit.yeeu,68178544390,2025-07-28T18:40:09.920Z,threads.net,ThreadsReplyPostCrawlingLoader
tr_73321025721,tr_73321025721,chamberland.marco,10,threads.net/@chamberland.marco,73321025721,2025-07-28T18:40:09.919Z,threads.net,ThreadsSourceReplyNoCookieCrawlingLoader
tr_66486219617,tr_66486219617,fredericderlich,10,threads.net/@fredericderlich,66486219617,2025-07-28T18:40:09.919Z,threads.net,ThreadsSourceReplyNoCookieCrawlingLoader
tr_70926523616,tr_70926523616,clarebirdburn,10,threads.net/@clarebirdburn,70926523616,2025-07-28T18:40:09.919Z,threads.net,ThreadsSourceReplyNoCookieCrawlingLoader
tr_63301064731,tr_63301064731,essyjayee,10,threads.net/@essyjayee,63301064731,2025-07-28T18:40:09.919Z,threads.net,ThreadsSourceReplyNoCookieCrawlingLoader
tr_75719200347,tr_75719200347,wokoma_jenewari,10,threads.net/@wokoma_jenewari,75719200347,2025-07-28T18:40:09.919Z,threads.net,ThreadsSourceReplyNoCookieCrawlingLoader
tr_73323058273,tr_73323058273,totti.ham.an,10,threads.net/@totti.ham.an,73323058273,2025-07-28T18:40:09.919Z,threads.net,ThreadsSourceReplyNoCookieCrawlingLoader
tr_63243113780,tr_63243113780,a_southerndrawl,10,threads.net/@a_southerndrawl,63243113780,2025-07-28T18:40:09.919Z,threads.net,ThreadsSourceReplyNoCookieCrawlingLoader
tr_68792330548,tr_68792330548,alumonachinyere,10,threads.net/@alumonachinyere,68792330548,2025-07-28T18:40:09.919Z,threads.net,ThreadsSourceReplyNoCookieCrawlingLoader
tr_75501497160,tr_75501497160,coco__0924,10,threads.net/@coco__0924,75501497160,2025-07-28T18:40:09.919Z,threads.net,ThreadsSourceReplyNoCookieCrawlingLoader
tr_63385222502,tr_63385222502,theschoellerfamily,10,threads.net/@theschoellerfamily,63385222502,2025-07-28T18:40:09.919Z,threads.net,ThreadsSourceReplyNoCookieCrawlingLoader
tr_63099295068,tr_63099295068,linhlng_,10,threads.net/@linhlng_,63099295068,2025-07-28T18:40:09.920Z,threads.net,ThreadsReplyPostCrawlingLoader
tr_67131720965,tr_67131720965,khanhphuong.paige,10,threads.net/@khanhphuong.paige,67131720965,2025-07-28T18:40:10.442Z,threads.net,ThreadsSourceReplyNoCookieCrawlingLoader
tr_68234424670,tr_68234424670,xepdinhdana,10,threads.net/@xepdinhdana,68234424670,2025-07-28T18:40:10.573Z,threads.net,ThreadsRepostNoCookieCrawlingLoader
tr_72215536968,tr_72215536968,khanhthyy_fc.embes,10,threads.net/@khanhthyy_fc.embes,72215536968,2025-07-28T18:40:10.573Z,threads.net,ThreadsRepostNoCookieCrawlingLoader
tr_67627477400,tr_67627477400,__quynhluuuuu__,10,threads.net/@__quynhluuuuu__,67627477400,2025-07-28T18:40:10.573Z,threads.net,ThreadsRepostNoCookieCrawlingLoader
tr_75934988010,tr_75934988010,khongcamxuc_742,10,threads.net/@khongcamxuc_742,75934988010,2025-07-28T18:40:10.828Z,threads.net,ThreadsSourceReplyNoCookieCrawlingLoader
tr_67598611452,tr_67598611452,vie.meoo,10,threads.net/@vie.meoo,67598611452,2025-07-28T18:40:10.828Z,threads.net,ThreadsSourceReplyNoCookieCrawlingLoader
tr_73377460700,tr_73377460700,ngoan.vo.2433,10,threads.net/@ngoan.vo.2433,73377460700,2025-07-28T18:40:10.828Z,threads.net,ThreadsSourceReplyNoCookieCrawlingLoader
tr_65420147513,tr_65420147513,trancam.dien,10,threads.net/@trancam.dien,65420147513,2025-07-28T18:40:10.828Z,threads.net,ThreadsSourceReplyNoCookieCrawlingLoader
tr_63426774485,tr_63426774485,vuutn_hao,10,threads.net/@vuutn_hao,63426774485,2025-07-28T18:40:10.828Z,threads.net,ThreadsSourceReplyNoCookieCrawlingLoader
tr_76103661108,tr_76103661108,huyntrang118,10,threads.net/@huyntrang118,76103661108,2025-07-28T18:40:10.828Z,threads.net,ThreadsSourceReplyNoCookieCrawlingLoader
tr_65203095451,tr_65203095451,ltnhuquyn163___,10,threads.net/@ltnhuquyn163___,65203095451,2025-07-28T18:40:11.413Z,threads.net,ThreadsPostCommentCrawlingLoader
tr_65900840056,tr_65900840056,linl_iin,10,threads.net/@linl_iin,65900840056,2025-07-28T18:40:11.413Z,threads.net,ThreadsPostCommentCrawlingLoader
tr_73203781238,tr_73203781238,timviecmoithoi,10,threads.net/@timviecmoithoi,73203781238,2025-07-28T18:40:11.413Z,threads.net,ThreadsPostCommentCrawlingLoader
tr_67129449787,tr_67129449787,xinchao_kitty,10,threads.net/@xinchao_kitty,67129449787,2025-07-28T18:40:11.413Z,threads.net,ThreadsPostCommentCrawlingLoader
tr_63141290884,tr_63141290884,imemymyselfmine,10,threads.net/@imemymyselfmine,63141290884,2025-07-28T18:40:11.413Z,threads.net,ThreadsPostCommentCrawlingLoader
tr_65581532669,tr_65581532669,_linghuongngow,10,threads.net/@_linghuongngow,65581532669,2025-07-28T18:40:11.413Z,threads.net,ThreadsPostCommentCrawlingLoader
tr_64501350564,tr_64501350564,sownill,10,threads.net/@sownill,64501350564,2025-07-28T18:40:11.413Z,threads.net,ThreadsPostCommentCrawlingLoader
tr_65794023750,tr_65794023750,an_min_99,10,threads.net/@an_min_99,65794023750,2025-07-28T18:40:11.413Z,threads.net,ThreadsPostCommentCrawlingLoader
tr_67808793117,tr_67808793117,_maicophung_,10,threads.net/@_maicophung_,67808793117,2025-07-28T18:40:11.413Z,threads.net,ThreadsPostCommentCrawlingLoader
tr_63291150042,tr_63291150042,gigef.docx,10,threads.net/@gigef.docx,63291150042,2025-07-28T18:40:11.413Z,threads.net,ThreadsPostCommentCrawlingLoader
tr_66883655339,tr_66883655339,hans.federic,10,threads.net/@hans.federic,66883655339,2025-07-28T18:40:11.413Z,threads.net,ThreadsPostCommentCrawlingLoader
tr_63943156545,tr_63943156545,minhh_nt,10,threads.net/@minhh_nt,63943156545,2025-07-28T18:40:11.413Z,threads.net,ThreadsPostCommentCrawlingLoader
tr_71401996138,tr_71401996138,nekochang.g,10,threads.net/@nekochang.g,71401996138,2025-07-28T18:40:11.413Z,threads.net,ThreadsPostCommentCrawlingLoader
tr_64027964651,tr_64027964651,n.tuan.16.04,10,threads.net/@n.tuan.16.04,64027964651,2025-07-28T18:40:11.413Z,threads.net,ThreadsPostCommentCrawlingLoader
tr_74227665357,tr_74227665357,lili.nh5937,10,threads.net/@lili.nh5937,74227665357,2025-07-28T18:40:11.413Z,threads.net,ThreadsPostCommentCrawlingLoader
tr_63483456126,tr_63483456126,immk.ng,10,threads.net/@immk.ng,63483456126,2025-07-28T18:40:11.997Z,threads.net,ThreadsCommentSubCommentCrawlingLoader
tr_72783065467,tr_72783065467,_babixixi,10,threads.net/@_babixixi,72783065467,2025-07-28T18:40:12.284Z,threads.net,ThreadsReplyPostCrawlingLoader
tr_69076633258,tr_69076633258,ninu_020101,10,threads.net/@ninu_020101,69076633258,2025-07-28T18:40:12.343Z,threads.net,ThreadsSourceReplyNoCookieCrawlingLoader
